address,category,name,symbol,OT,MT,Failing tests OT,Failing tests MT,% OTf,% MTf,OT duration,MT duration
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,[B1][B7],Gamechain System,GCS,OK,OK,5,2,8.06,5.88,19.42s,17.22s
0x8727c112C712c4a03371AC87a74dD6aB104Af768,[B1][B2][B3],Jetcoin,JET,OK,OK,7,4,11.29,11.76,19.71s,17.12s
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,[A2][B1][B2][B3],Cryptaur,CPT,OK,OK,8,5,12.9,14.71,18.73s,16.81s
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,[A6][B1][B7],Fujinto,NTO,OK,OK,8,4,12.9,11.76,19.11s,17.14s
0x8eFFd494eB698cc399AF6231fCcd39E08fd20B15,[B4],PIX Token,PIX,OK,OK,22,12,35.48,35.29,21.55s,19.29s
0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,[B5][B6],Veritaseum,VERI,OK,OK,8,5,12.9,14.71,19.55s,15.84s
0x93E682107d1E9defB0b5ee701C71707a4B2E46Bc,[B1][B7],MCAP,MCAP,OK,OK,5,2,8.06,5.88,18.64s,17.02s
0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,[A10][A2],FuturXE,FXE,OK,OK,30,17,48.39000000000001,50.0,17.94s,5.79s
0x96c833E43488C986676e9F6B3b8781812629bbb5,[A1],AMMBR,AMR,OK,OK,23,13,37.1,38.24,19.13s,16.92s
0x9720b467a710382A232a32F540bDCed7d662a10B,[B1][B7],Vezt,VZT,OK,OK,28,13,45.16,38.24,20.21s,17.86s
0x9E77D5a1251b6F7D456722A6eaC6D2d5980bd891,[B1][B7],BRAT RED,BRAT,OK,OK,5,2,8.06,5.88,18.96s,17.24s
0x9af2c6B1A28D3d6BC084bd267F70e90d49741D5B,[A16],aXpire Token,AXP,OK,OK,12,7,19.35,20.59,19.69s,17.51s
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,[A2][A6][B1][B7],Target Coin,TGT,OK,OK,10,5,16.13,14.71,19.51s,17.05s
0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,[A2],CreditBIT,CRB,OK,OK,8,5,12.9,14.71,21.04s,19.49s
0xB45a50545bEEAB73F38F31E5973768C421805E5E,[B1][B2][B3],TKRToken,TKR,OK,OK,7,4,11.29,11.76,18.89s,16.43s
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,[B1][B7],BNB,BNB,OK,OK,27,13,43.54999999999999,38.24,19.34s,17.03s
0xB97048628DB6B661D4C2aA833e95Dbe1A905B280,[B1][B2][B3],TenX Pay Token,PAY,OK,OK,8,5,12.9,14.71,19.56s,16.52s
0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,[B1][B7],Aeron,ARN,OK,OK,27,13,43.54999999999999,38.24,18.56s,16.75s
0xC27C95350eCD634C80dF89db0f10cd5c24B7B11f,[B1][B7],PixieCoin,PXC,OK,OK,22,11,35.48,32.35,18.07s,16.81s
0xC5d105E63711398aF9bbff092d4B6769C82F793D,[A1],BeautyChain,BEC,OK,OK,47,24,75.81,70.59,5.70s,4.86s
0xCc13Fc627EFfd6E35D2D2706Ea3C4D7396c610ea,[A17],idex-membership,IDXM,OK,OK,7,4,11.826666666666666,12.743333333333334,19.59s,17.87s
0xCc34366E3842cA1BD36c1f324d15257960fCC801,[B1][B2][B3],Bonpay Token,BON,OK,OK,7,4,11.29,11.76,20.11s,16.89s
0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,[A17][B7],Aurora DAO,AURA,OK,OK,22,11,35.48,32.35,18.98s,16.98s
0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,[A10][C1],Soarcoin,Soar,OK,OK,23,13,37.1,38.24,17.90s,16.94s
0xE5F166c0D8872B68790061317BB6CcA04582C912,[A16],TE-FOOD,TFD,OK,OK,7,4,11.29,11.76,19.72s,18.11s
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,[B1][B2][B3],Blocktix Token,TIX,OK,OK,8,5,12.9,14.71,19.31s,17.21s
0xF0f8B0B8DBB1124261FC8d778E2287e3Fd2Cf4f5,[B7],bitqy,BQ,OK,OK,9,4,14.520000000000001,11.76,19.49s,17.07s
0xF433089366899D83a9f26A773D59ec7eCF30355e,[B1][B2][B3],Metal,MTL,OK,OK,8,5,12.9,14.71,18.00s,16.34s
0xFFE02ee4C69eDf1b340fCaD64fbd6b37a7b9e265,[A16],NANJCOIN,NANJ,OK,OK,26,14,41.94,41.18,20.94s,19.12s
0xa0872eE815B8dd0F6937386Fd77134720d953581,[A18],EduCoinToken,EDU,OK,OK,24,13,38.71,38.24,16.58s,15.29s
0xaE616e72D3d89e847f74E8ace41Ca68bbF56af79,[B1][B7],Good Karma,∞,OK,OK,9,4,14.520000000000001,11.76,18.23s,16.03s
0xaF4DcE16Da2877f8c9e00544c93B62Ac40631F16,[B7],Monetha,MTH,OK,OK,7,4,11.29,11.76,18.46s,15.95s
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,[A2],SingularDTV,SNGLS,OK,OK,23,13,37.1,38.24,17.80s,15.93s
0xb3203DB25a01fa7950a860B42b899Ad7Da52DDD6,[B1][B7],PlexCoin,PLX,OK,OK,5,2,8.06,5.88,18.55s,16.24s
0xb5A5F22694352C15B00323844aD545ABb2B11028,[A11][B4][B5][B6],icon,ICX,OK,OK,6,4,9.68,11.76,19.15s,16.30s
0xb6F43025B29196Af2dddd69b0a58AFBa079cD600,[B1][B7],智投链,IIC,OK,OK,22,11,35.48,32.35,18.10s,16.12s
0xbbFF862d906E348E9946Bfb2132ecB157Da3D4b4,[B1],Sharder,SS,OK,OK,20,11,32.26,32.35,20.88s,18.21s
0xc72fe8e3Dd5BeF0F9f31f259399F301272eF2a2D,[A2],Insights Network,INSTAR,OK,OK,46,23,74.19,67.65,6.43s,5.31s
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,[B1][B2][B3],OMGToken,OMG,OK,OK,8,5,12.9,14.71,18.63s,16.10s
0xd7631787B4dCc87b1254cfd1e5cE48e96823dEe8,[A2],SOCIAL,SCL,OK,OK,7,4,11.29,11.76,18.08s,15.94s
0xd97579Cea3fE2473682a4C42648134BB982433B9,[A21],Lightcoin,Light,OK,OK,17,8,27.42,23.53,17.64s,14.94s
0xe120c1ECBfdFeA7F0A8f0Ee30063491E8c26fedf,[B1][B7],Suretly,SUR,OK,OK,5,2,8.06,5.88,18.27s,16.22s
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,[B1][B2][B3],PILLAR,PLR,OK,OK,8,5,12.9,14.71,20.80s,17.97s
0xf05a9382A4C3F29E2784502754293D88b835109C,[B1][B2][B3],REX - Real Estate tokens,REX,OK,OK,7,4,11.29,11.76,19.42s,16.76s
0xfAE4Ee59CDd86e3Be9e8b90b53AA866327D7c090,[B1][B7],CPChain,CPC,OK,OK,22,11,35.48,32.35,18.45s,16.47s
